0.051267,0.69956,1
-0.092742,0.68494,1
-0.21371,0.69225,1
-0.375,0.50219,1
-0.51325,0.46564,1
-0.52477,0.2098,1
-0.452,0.347,1
-0.352,0.298,1
-0.281,0.392,1
-0.201,0.468,1
-0.125,0.523,1
-0.042,0.567,1
0.042,0.592,1
0.125,0.608,1
0.208,0.615,1
0.292,0.613,1
0.375,0.602,1
0.458,0.583,1
0.542,0.556,1
0.625,0.521,1
0.708,0.479,1
0.792,0.431,1
0.875,0.377,1
0.958,0.318,1
1.042,0.255,1
1.125,0.188,1
1.208,0.119,1
1.292,0.049,1
1.375,-0.021,1
1.458,-0.09,1
1.542,-0.158,1
1.625,-0.224,1
1.708,-0.287,1
1.792,-0.347,1
1.875,-0.403,1
1.958,-0.455,1
2.042,-0.502,1
2.125,-0.544,1
2.208,-0.581,1
2.292,-0.612,1
2.375,-0.637,1
2.458,-0.656,1
2.542,-0.669,1
2.625,-0.676,1
2.708,-0.677,1
2.792,-0.672,1
2.875,-0.661,1
2.958,-0.644,1
3.042,-0.622,1
3.125,-0.594,1
3.208,-0.561,1
3.292,-0.524,1
3.375,-0.482,1
3.458,-0.436,1
3.542,-0.387,1
3.625,-0.335,1
3.708,-0.28,1
3.792,-0.223,1
3.875,-0.164,1
3.958,-0.104,1
4.042,-0.043,1
4.125,0.018,1
4.208,0.078,1
4.292,0.137,1
4.375,0.194,1
4.458,0.249,1
4.542,0.302,1
4.625,0.352,1
4.708,0.399,1
4.792,0.443,1
4.875,0.483,1
4.958,0.519,1
5.042,0.551,1
5.125,0.579,1
5.208,0.603,1
5.292,0.622,1
5.375,0.637,1
5.458,0.648,1
5.542,0.654,1
5.625,0.656,1
5.708,0.653,1
5.792,0.646,1
5.875,0.635,1
5.958,0.62,1
6.042,0.601,1
6.125,0.578,1
6.208,0.552,1
6.292,0.522,1
6.375,0.489,1
6.458,0.453,1
6.542,0.414,1
6.625,0.373,1
6.708,0.33,1
6.792,0.285,1
6.875,0.238,1
6.958,0.19,1
7.042,0.141,1
7.125,0.092,1
7.208,0.042,1
7.292,-0.008,1
7.375,-0.058,1
7.458,-0.107,1
7.542,-0.155,1
7.625,-0.202,1
7.708,-0.247,1
7.792,-0.29,1
